reply_id,reply_user_id,reply_user_name,context_id,replyTo_user,reply_to_name,text,context,from
1050819289974853632,388208060,dontbignorant,1050699481321283585,24913074,RepSpeier,@RepSpeier @FLOTUS The NO ADDED VALUE nude model(UK GQ magazine)&amp;Amoral Trump have a sugar daddy arrangement.Trump is the same age as her father.This is an example of what happens when you are poorly educated and you sell your dignity for a pussy grabber.Only achievement on LinkedIn-gold digger!,.@FLOTUS went from living in a guilded tower to the White House after qualifying for a “genius visa” - not to mention getting her parents US citizenship via chain migration. The struggle is real. https://t.co/FaZ0l7VU9U,tox
1042144051758293000,388208060,dontbignorant,1042143658995265539,248735463,RepBarbaraLee,"@RepBarbaraLee Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","When Anita Hill told her story, the Senate didn’t listen. Let’s not make the same mistake again – the Senate must give Dr. Ford the respect she deserves and investigate the serious allegations against Brett Kavanaugh before it's too late. #PostponeTheVote #BelieveWomen https://t.co/evb691hqEJ",tox
1042141597469736962,388208060,dontbignorant,1041772015076696065,815733290955112448,RepJayapal,"@RepJayapal Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","Brett Kavanaugh’s confirmation has been flawed from the very beginning. He has misled those questioning him and possibly even perjured himself – these allegations go beyond that. 

We owe it to Christine Ford and women across the country to investigate these matters fully.",tox
1042142480119095298,388208060,dontbignorant,1042061981434425344,2962868158,RepDonBeyer,"@RepDonBeyer Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","Professor Anita Hill has written a new, must-read OpEd: How to Get the Kavanaugh Hearings Right

""The Senate Judiciary Committee has a chance to do better by the country than it did nearly three decades ago.""
https://t.co/Bg7F5xCPqc",tox
1042140922849439744,388208060,dontbignorant,1042118711732260866,1880674038,USRepKCastor,"@USRepKCastor Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","The US Senate must rise to the occasion and take Dr. Ford’s allegations against Judge Kavanaugh w/the seriousness &amp; careful consideration they deserve, immediately postponing his confirmation to allow a thorough investigation. https://t.co/v3QRjsvxr2",tox
1042144450150100996,388208060,dontbignorant,1041808201392578562,1880674038,USRepKCastor,"@USRepKCastor Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","Dr. Ford is courageous for coming forward &amp; sharing her experience. The Senate Judiciary Committee must immediately postpone scheduled votes on Judge Kavanaugh’s Supreme Court nomination while they investigate these serious and credible allegations!
 
https://t.co/zFYKJ3CA4t",tox
1042140899097104384,388208060,dontbignorant,1041846675881377797,162069635,RepCohen,"@RepCohen Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!",#BrettKavanuagh will withdraw as #SCOTUSpick &amp;save his Appeals judgeship.Monday will(would)be ugly for Republicans. Judge #AmyBarrett will  be nominated and approved.#SupremeCourt #RhodesCollege alum without skeletons. #Kavanaugh #KavanaughWithdraw #KavanaughConfirmationHearing,tox
1042141090738925568,388208060,dontbignorant,1041775848704143360,1037321378,RepMarkTakano,"@RepMarkTakano Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!",Dr. Christine Blasey Ford is very brave — she must be treated with respect and her story deserves to be heard. The Senate Judiciary Committee should not move forward with the Kavanaugh confirmation process until these allegations are thoroughly investigated. Justice demands it.,tox
1042141168480518144,388208060,dontbignorant,1041823145160843264,798973032362606600,RepValDemings,"@RepValDemings Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","The president says that the allegations against Kavanaugh “should’ve been brought up long before.” In other words, if you are sexually assaulted, regardless of the emotional anguish or shame, report it early so the President and all the King’s Men can attack you sooner. https://t.co/hQEjwZpbnN",tox
1042144126781861888,388208060,dontbignorant,1041783496258318336,798973032362606600,RepValDemings,"@RepValDemings Our PUS*Y GRABBING PRESIDENT FEELS BAD FOR THE ALLEGED SEXUAL ASSAULT JUDGE!THE VICTIM DIDNT DESERVE TO BE ASSAULTED!TRUMP HAS MADE THIS TYPE OF BEHAVIOR ACCEPTABLE AND OUR NEW NORM-Trump: If Ivanka weren’t my daughter, I'd be dating her!","Women who accuse powerful men always have to defend their character, honor, reputation. Yet the Senate Majority Leader and the Chairman of the Senate Judiciary Committee seem more concerned about Judge Kavanaugh’s career than a teenager who may have been sexually assaulted. https://t.co/gLxcRpFaqu",tox
